Alphabets,Colors,Numbers,Arithmetic,Shapes,Objects,Emotions,Sound,Communication,Actions,Recommended Lessons
8,9,4,3,2,3,4,9,2,6, Numbers Arithmetic Shapes Objects Emotions Communication
6,6,3,5,9,1,2,1,2,2, Numbers Arithmetic Objects Emotions Sound Communication Actions
3,4,6,9,4,1,1,7,7,8,Alphabets Colors Shapes Objects Emotions
8,4,9,10,7,3,1,5,9,2, Colors Objects Emotions Sound Actions
4,4,10,2,7,6,7,7,6,10,Alphabets Colors Arithmetic
1,10,0,6,2,3,2,2,6,1,Alphabets Numbers Shapes Objects Emotions Sound Actions
4,10,5,8,5,2,5,0,7,0,Alphabets Numbers Shapes Objects Emotions Sound Actions
6,7,4,5,9,5,0,7,9,8, Numbers Arithmetic Objects Emotions
4,2,9,4,5,5,8,1,2,6,Alphabets Colors Arithmetic Shapes Objects Sound Communication
6,0,3,0,9,10,2,2,3,9, Colors Numbers Arithmetic Emotions Sound Communication
9,2,5,0,2,8,4,7,4,6, Colors Numbers Arithmetic Shapes Emotions Communication
0,2,5,6,2,10,9,3,10,5,Alphabets Colors Numbers Shapes Sound Actions
3,8,6,4,6,1,10,7,9,5,Alphabets Arithmetic Objects Actions
3,0,2,9,5,5,9,9,7,5,Alphabets Colors Numbers Shapes Objects Actions
10,0,3,4,2,7,1,3,6,0, Colors Numbers Arithmetic Shapes Emotions Sound Actions
7,2,7,7,4,0,3,2,0,0, Colors Shapes Objects Emotions Sound Communication Actions
7,4,5,5,7,5,0,1,5,4, Colors Numbers Arithmetic Objects Emotions Sound Communication Actions
10,3,5,0,2,5,3,2,3,2, Colors Numbers Arithmetic Shapes Objects Emotions Sound Communication Actions
0,4,6,2,7,7,10,9,6,1,Alphabets Colors Arithmetic Actions
3,8,9,1,4,3,0,7,0,3,Alphabets Arithmetic Shapes Objects Emotions Communication Actions
5,5,3,5,6,8,10,2,3,2,Alphabets Colors Numbers Arithmetic Sound Communication Actions
7,0,3,10,9,6,10,0,6,3, Colors Numbers Sound Actions
7,3,0,2,6,5,3,9,3,3, Colors Numbers Arithmetic Objects Emotions Communication Actions
0,7,5,6,9,9,9,1,8,1,Alphabets Numbers Sound Actions
