Alphabets,Colors,Digits,Arithmetic,Shapes,Objects,Emotions,Sound,Communication,Actions,Recommended Lessons
6.68,8.04,3.39,0.2,1.08,1.33,2.62,7.56,0.87,5.99, Digits Arithmetic Shapes Objects Emotions Communication Actions
4.97,4.23,1.23,1.83,6.07,0.91,1.81,0,0.47,0.59,Alphabets Colors Digits Arithmetic Objects Emotions Sound Communication Actions
2.43,2.21,2.84,6,4,0,0,7,5.51,6.17,Alphabets Colors Digits Shapes Objects Emotions Communication
6.98,3.03,9,10,7,2.68,0,2.19,6.07,0.6, Colors Objects Emotions Sound Actions
1.99,1.31,7.88,0,7,3.17,6.58,5.6,6,8.75,Alphabets Colors Arithmetic Objects Sound
0.76,8.09,0,6,1.24,1.45,2,0,6,0.58,Alphabets Digits Shapes Objects Emotions Sound Actions
4,8.29,4.23,6.42,4.11,2,1.83,0,5.52,0,Alphabets Digits Shapes Objects Emotions Sound Communication Actions
3.83,7,2.1,2.49,6.64,5,0,7,9,5.33,Alphabets Digits Arithmetic Objects Emotions Actions
2.49,0,6.55,3.62,4.51,5,8,0,2,2.91,Alphabets Colors Arithmetic Shapes Objects Sound Communication Actions
5.23,0,2.98,0,9,9.54,2,0,1.19,7.22,Alphabets Colors Digits Arithmetic Emotions Sound Communication
7.95,1.42,3.97,0,0.05,6.29,1.17,6.15,4,4.39, Colors Digits Arithmetic Shapes Emotions Communication Actions
0,2,5,6,2,7.52,9,1.26,8.91,3.9,Alphabets Colors Digits Shapes Sound Actions
0.15,7.98,6,1.35,4.57,0,8.76,7,9,3.08,Alphabets Arithmetic Shapes Objects Actions
2.59,0,0,9,3.5,5,5.92,7.9,3.88,5,Alphabets Colors Digits Shapes Objects Emotions Communication Actions
8.82,0,3,1.77,1.51,5.57,0,1.21,4.46,0, Colors Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
5.58,0,5.98,4.07,4,0,0.15,0.73,0,0,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
6.74,4,2.6,3.93,4.49,3.61,0,1,4.74,2.69, Colors Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
8.35,0.33,4.23,0,2,4.3,1.91,1.94,3,1.29, Colors Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
0,2.19,3.09,0.02,4.73,5.42,10,6.13,3.18,0,Alphabets Colors Digits Arithmetic Shapes Objects Communication Actions
2.28,6.5,5.9,0,2.7,1.97,0,5.2,0,0.97,Alphabets Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
5,2.88,2.09,4.35,6,7.23,7.25,2,0.15,2,Alphabets Colors Digits Arithmetic Sound Communication Actions
